H,K,L,2THETA,D-VALUE,MULT,INTENSITY
0,2,13,36,0.8089,2,0.8
3,-3,3,36.37,0.8011,2,1.9
3,-3,-3,36.37,0.8011,2,1.9
3,0,3,36.37,0.8011,2,1.9
3,0,-3,36.37,0.8011,2,1.9
0,3,3,36.37,0.8011,2,1.9
0,3,-3,36.37,0.8011,2,1.9
1,-1,17,37.25,0.7829,2,0.6
0,1,17,37.25,0.7829,2,0.6
0,0,18,37.35,0.7807,2,1.4
2,-1,15,37.39,0.78,2,2.4
1,-2,15,37.39,0.78,2,2.4
1,1,15,37.39,0.78,2,2.4
2,0,14,37.64,0.775,2,1.1
1,-3,10,37.85,0.7708,2,0.9
2,1,10,37.85,0.7708,2,0.9
3,-1,10,37.85,0.7708,2,0.9
3,-3,-6,37.99,0.7681,2,0.8
3,-3,6,37.99,0.7681,2,0.8
0,3,-6,37.99,0.7681,2,0.8
3,0,-6,37.99,0.7681,2,0.8
0,3,6,37.99,0.7681,2,0.8
3,0,6,37.99,0.7681,2,0.8
2,-3,11,39.07,0.7476,2,1.7
1,2,11,39.07,0.7476,2,1.7
3,-2,11,39.07,0.7476,2,1.7
3,-3,-9,40.57,0.7212,2,0.5
3,-3,9,40.57,0.7212,2,0.5
0,3,-9,40.57,0.7212,2,0.5
3,0,-9,40.57,0.7212,2,0.5
0,3,9,40.57,0.7212,2,0.5
3,0,9,40.57,0.7212,2,0.5
2,-2,16,41.07,0.7127,2,1.5
0,2,16,41.07,0.7127,2,1.5
1,0,19,41.37,0.7078,2,1.5
4,-2,0,41.59,0.7042,2,1.9
2,-4,0,41.59,0.7042,2,1.9
2,2,0,41.59,0.7042,2,1.9
1,-3,13,41.76,0.7015,2,0.4
2,1,13,41.76,0.7015,2,0.4
3,-1,13,41.76,0.7015,2,0.4
2,2,-3,42.08,0.6963,2,0.8
2,-4,-3,42.08,0.6963,2,0.8
2,-4,3,42.08,0.6963,2,0.8
2,2,3,42.08,0.6963,2,0.8
4,-2,3,42.08,0.6963,2,0.8
4,-2,-3,42.08,0.6963,2,0.8
2,0,17,42.86,0.6842,2,0.3
1,-2,18,42.96,0.6828,2,0.6
2,-1,18,42.96,0.6828,2,0.6
1,1,18,42.96,0.6828,2,0.6
2,-3,14,43.21,0.679,2,0.5
3,-2,14,43.21,0.679,2,0.5
1,2,14,43.21,0.679,2,0.5
1,-4,-1,43.43,0.6757,2,0.6
4,-1,-1,43.43,0.6757,2,0.6
3,-4,1,43.43,0.6757,2,0.6
4,-3,1,43.43,0.6757,2,0.6
1,3,1,43.43,0.6757,2,0.6
3,1,-1,43.43,0.6757,2,0.6
1,-1,20,43.47,0.6752,2,1
0,1,20,43.47,0.6752,2,1
2,2,6,43.52,0.6743,2,0.3
4,-2,6,43.52,0.6743,2,0.3
2,2,-6,43.52,0.6743,2,0.3
4,-2,-6,43.52,0.6743,2,0.3
2,-4,6,43.52,0.6743,2,0.3
2,-4,-6,43.52,0.6743,2,0.3
4,-3,-2,43.58,0.6734,2,0.3
3,-4,-2,43.58,0.6734,2,0.3
3,1,2,43.58,0.6734,2,0.3
1,-4,2,43.58,0.6734,2,0.3
4,-1,2,43.58,0.6734,2,0.3
1,3,-2,43.58,0.6734,2,0.3
0,0,21,43.88,0.6691,2,0.2
3,-3,12,43.97,0.6679,2,1.2
3,0,12,43.97,0.6679,2,1.2
0,3,12,43.97,0.6679,2,1.2
4,-3,4,44.21,0.6643,2,1.3
3,-4,4,44.21,0.6643,2,1.3
1,-4,-4,44.21,0.6643,2,1.3
4,-1,-4,44.21,0.6643,2,1.3
1,3,4,44.21,0.6643,2,1.3
3,1,-4,44.21,0.6643,2,1.3
1,3,-5,44.68,0.6577,2,0.4
4,-3,-5,44.68,0.6577,2,0.4
3,-4,-5,44.68,0.6577,2,0.4
1,-4,5,44.68,0.6577,2,0.4
4,-1,5,44.68,0.6577,2,0.4
3,1,5,44.68,0.6577,2,0.4
4,-2,-9,45.84,0.6419,2,0.3
2,-4,9,45.84,0.6419,2,0.3
2,2,-9,45.84,0.6419,2,0.3
4,-2,9,45.84,0.6419,2,0.3
2,-4,-9,45.84,0.6419,2,0.3
2,2,9,45.84,0.6419,2,0.3
4,-3,7,45.9,0.6411,2,0.6
3,-4,7,45.9,0.6411,2,0.6
3,1,-7,45.9,0.6411,2,0.6
4,-1,-7,45.9,0.6411,2,0.6
1,3,7,45.9,0.6411,2,0.6
1,-4,-7,45.9,0.6411,2,0.6
1,-3,16,46.3,0.6359,2,0.7
3,-1,16,46.3,0.6359,2,0.7
2,1,16,46.3,0.6359,2,0.7
0,2,19,46.57,0.6324,2,0.7
2,-2,19,46.57,0.6324,2,0.7
1,-4,8,46.66,0.6313,2,0.9
3,1,8,46.66,0.6313,2,0.9
4,-3,-8,46.66,0.6313,2,0.9
3,-4,-8,46.66,0.6313,2,0.9
1,3,-8,46.66,0.6313,2,0.9
4,-1,8,46.66,0.6313,2,0.9
1,0,22,47.73,0.6179,2,0.4
3,-2,17,47.93,0.6154,2,0.1
2,-3,17,47.93,0.6154,2,0.1
1,2,17,47.93,0.6154,2,0.1
3,-3,15,48.05,0.6141,2,0.6
0,3,15,48.05,0.6141,2,0.6
3,0,15,48.05,0.6141,2,0.6
3,-4,10,48.43,0.6096,2,0.2
4,-3,10,48.43,0.6096,2,0.2
1,3,10,48.43,0.6096,2,0.2
4,0,1,48.45,0.6092,2,0.3
4,-4,-1,48.45,0.6092,2,0.3
0,4,-1,48.45,0.6092,2,0.3
2,0,20,48.49,0.6088,2,0.5
4,-4,2,48.6,0.6075,2,0.2
0,4,2,48.6,0.6075,2,0.2
4,0,-2,48.6,0.6075,2,0.2
1,-2,21,48.87,0.6044,2,0.1
1,1,21,48.87,0.6044,2,0.1
2,-1,21,48.87,0.6044,2,0.1
2,2,12,48.95,0.6035,2,0.6
2,-4,12,48.95,0.6035,2,0.6
4,-2,12,48.95,0.6035,2,0.6
4,-4,-4,49.18,0.6008,2,0.7
4,0,4,49.18,0.6008,2,0.7
0,4,-4,49.18,0.6008,2,0.7
1,-4,11,49.44,0.5979,2,0.4
4,-1,11,49.44,0.5979,2,0.4
3,1,11,49.44,0.5979,2,0.4
4,-4,5,49.61,0.5959,2,0.2
4,0,-5,49.61,0.5959,2,0.2
0,4,5,49.61,0.5959,2,0.2
1,-1,23,49.9,0.5926,2,0.5
0,1,23,49.9,0.5926,2,0.5
0,0,24,50.55,0.5855,2,0.3
4,-4,-7,50.74,0.5835,2,0.3
0,4,-7,50.74,0.5835,2,0.3
4,0,7,50.74,0.5835,2,0.3
1,-3,19,51.36,0.5769,2,0.4
2,1,19,51.36,0.5769,2,0.4
3,-1,19,51.36,0.5769,2,0.4
4,0,-8,51.44,0.5761,2,0.5
4,-4,8,51.44,0.5761,2,0.5
0,4,8,51.44,0.5761,2,0.5
4,-3,13,51.69,0.5735,2,0.1
3,-4,13,51.69,0.5735,2,0.1
1,3,13,51.69,0.5735,2,0.1
2,-2,22,52.44,0.5658,2,0.2
0,2,22,52.44,0.5658,2,0.2
3,-3,18,52.71,0.5631,2,0.2
0,3,18,52.71,0.5631,2,0.2
3,0,18,52.71,0.5631,2,0.2
2,-4,15,52.74,0.5629,2,0.3
4,-2,15,52.74,0.5629,2,0.3
2,2,15,52.74,0.5629,2,0.3
1,-4,14,52.93,0.561,2,0.1
4,-1,14,52.93,0.561,2,0.1
3,1,14,52.93,0.561,2,0.1
4,0,10,53.09,0.5594,2,0.1
2,3,-1,53.12,0.5592,2,0.2
3,2,1,53.12,0.5592,2,0.2
3,-5,-1,53.12,0.5592,2,0.2
5,-3,-1,53.12,0.5592,2,0.2
2,-5,1,53.12,0.5592,2,0.2
5,-2,1,53.12,0.5592,2,0.2
2,-3,20,53.15,0.5588,2,0.3
1,2,20,53.15,0.5588,2,0.3
3,-2,20,53.15,0.5588,2,0.3
3,-5,2,53.25,0.5578,2,0.1
5,-3,2,53.25,0.5578,2,0.1
5,-2,-2,53.25,0.5578,2,0.1
2,-5,-2,53.25,0.5578,2,0.1
3,2,-2,53.25,0.5578,2,0.1
2,3,2,53.25,0.5578,2,0.1
3,-5,-4,53.79,0.5526,2,0.4
5,-3,-4,53.79,0.5526,2,0.4
2,-5,4,53.79,0.5526,2,0.4
5,-2,4,53.79,0.5526,2,0.4
2,3,-4,53.79,0.5526,2,0.4
3,2,4,53.79,0.5526,2,0.4
4,-4,11,54.04,0.5503,2,0.2
0,4,11,54.04,0.5503,2,0.2
5,-3,5,54.2,0.5488,2,0.1
3,-5,5,54.2,0.5488,2,0.1
5,-2,-5,54.2,0.5488,2,0.1
2,-5,-5,54.2,0.5488,2,0.1
3,2,-5,54.2,0.5488,2,0.1
2,3,5,54.2,0.5488,2,0.1
1,0,25,54.31,0.5477,2,0
2,0,23,54.47,0.5463,2,0.3
1,-2,24,55.09,0.5406,2,0.2
2,-1,24,55.09,0.5406,2,0.2
1,1,24,55.09,0.5406,2,0.2
3,-5,-7,55.26,0.539,2,0.2
5,-3,-7,55.26,0.539,2,0.2
5,-2,7,55.26,0.539,2,0.2
2,-5,7,55.26,0.539,2,0.2
2,3,-7,55.26,0.539,2,0.2
3,2,7,55.26,0.539,2,0.2
3,-4,16,55.61,0.536,2,0.2
4,-3,16,55.61,0.536,2,0.2
1,3,16,55.61,0.536,2,0.2
5,-3,8,55.92,0.5332,2,0.3
2,3,8,55.92,0.5332,2,0.3
3,2,-8,55.92,0.5332,2,0.3
3,-5,8,55.92,0.5332,2,0.3
5,-2,-8,55.92,0.5332,2,0.3
2,-5,-8,55.92,0.5332,2,0.3
4,-5,0,56.03,0.5323,2,0.3
5,-4,0,56.03,0.5323,2,0.3
4,1,0,56.03,0.5323,2,0.3
1,-5,0,56.03,0.5323,2,0.3
5,-1,0,56.03,0.5323,2,0.3
1,4,0,56.03,0.5323,2,0.3
4,0,13,56.16,0.5311,2,0.1
5,-4,3,56.42,0.5289,2,0.1
4,-5,3,56.42,0.5289,2,0.1
5,-4,-3,56.42,0.5289,2,0.1
4,-5,-3,56.42,0.5289,2,0.1
1,-5,3,56.42,0.5289,2,0.1
5,-1,3,56.42,0.5289,2,0.1
1,-5,-3,56.42,0.5289,2,0.1
5,-1,-3,56.42,0.5289,2,0.1
1,4,3,56.42,0.5289,2,0.1
4,1,3,56.42,0.5289,2,0.1
1,4,-3,56.42,0.5289,2,0.1
4,1,-3,56.42,0.5289,2,0.1
0,1,26,56.56,0.5277,2,0.1
1,-1,26,56.56,0.5277,2,0.1
1,-3,22,56.87,0.525,2,0.1
3,-1,22,56.87,0.525,2,0.1
2,1,22,56.87,0.525,2,0.1
1,-4,17,57.05,0.5235,2,0
4,-1,17,57.05,0.5235,2,0
3,1,17,57.05,0.5235,2,0
2,-4,18,57.13,0.5229,2,0.1
2,2,18,57.13,0.5229,2,0.1
4,-2,18,57.13,0.5229,2,0.1
4,-4,14,57.33,0.5212,2,0.1
0,4,14,57.33,0.5212,2,0.1
0,0,27,57.42,0.5204,2,0.2
2,-5,10,57.48,0.5199,2,0.1
5,-2,10,57.48,0.5199,2,0.1
3,2,10,57.48,0.5199,2,0.1
5,-4,6,57.59,0.5191,2,0
4,-5,6,57.59,0.5191,2,0
5,-4,-6,57.59,0.5191,2,0
4,-5,-6,57.59,0.5191,2,0
1,4,6,57.59,0.5191,2,0
4,1,6,57.59,0.5191,2,0
1,4,-6,57.59,0.5191,2,0
4,1,-6,57.59,0.5191,2,0
1,-5,6,57.59,0.5191,2,0
5,-1,6,57.59,0.5191,2,0
1,-5,-6,57.59,0.5191,2,0
5,-1,-6,57.59,0.5191,2,0
3,-3,21,57.88,0.5167,2,0
0,3,21,57.88,0.5167,2,0
3,0,21,57.88,0.5167,2,0
3,-5,11,58.38,0.5126,2,0.1
5,-3,11,58.38,0.5126,2,0.1
2,3,11,58.38,0.5126,2,0.1
2,-2,25,58.65,0.5105,2,0
0,2,25,58.65,0.5105,2,0
2,-3,23,58.8,0.5093,2,0.2
3,-2,23,58.8,0.5093,2,0.2
1,2,23,58.8,0.5093,2,0.2
1,4,-9,59.5,0.5038,2,0
5,-4,-9,59.5,0.5038,2,0
4,-5,-9,59.5,0.5038,2,0
5,-4,9,59.5,0.5038,2,0
4,-5,9,59.5,0.5038,2,0
4,1,-9,59.5,0.5038,2,0
5,-1,-9,59.5,0.5038,2,0
1,-5,-9,59.5,0.5038,2,0
1,-5,9,59.5,0.5038,2,0
5,-1,9,59.5,0.5038,2,0
1,4,9,59.5,0.5038,2,0
4,1,9,59.5,0.5038,2,0
4,0,16,59.88,0.5009,2,0.1
